artist_name,genre,popularity,followers,external_url
Brittany Kennell,canadian contemporary country,24,3350,https://open.spotify.com/artist/5LqrMo8Uh0K7mJ6zoWd3CP
Shelby Lee Lowe,,26,4569,https://open.spotify.com/artist/5TB862IilNSqLtORkcpMbT
The Band Loula,,29,19703,https://open.spotify.com/artist/3BkvqhICmG3IyD4z9xGu7i
Olivia Wolf,,22,3651,https://open.spotify.com/artist/4nCfP4yZhkF1g7g8MlzCM7
Kayley Green,,21,3077,https://open.spotify.com/artist/77sTeh8vSETya7x0MkRcNM
Blake Henderson,,25,2370,https://open.spotify.com/artist/5ILg0WBOzkaN5ePByRuMw4
Connor McCutcheon,,27,2151,https://open.spotify.com/artist/3yluFQwZBhp5jJYLlRG034
Lexie Hayden,country pop,21,8970,https://open.spotify.com/artist/6zYd6Vq5ssXgIhxm1DTGWh
The Lockhearts,,18,1041,https://open.spotify.com/artist/1aF7p8yc6L5TSTClZOogx0
Sheyna Gee,,28,11690,https://open.spotify.com/artist/05BcZCAQvpZCJSRqWFzSnF
Kayley Bishop,,18,2758,https://open.spotify.com/artist/6T6PhZvVp4pb5rbnj1ygeQ
Julie Eddy,,13,2089,https://open.spotify.com/artist/3x7zsjJ0ooO3n1XVOVn1KQ
Lee Brady,,5,2935,https://open.spotify.com/artist/2xxz4Kk59zp8EMtBELzymP
Tony Stevens,,28,1670,https://open.spotify.com/artist/0YwklV2iGY9kq03JYJMtKN
Route 33,australian country,26,1564,https://open.spotify.com/artist/5KDFgnaOWRd3B8V1WQWZlE
Colt Graves,,38,13179,https://open.spotify.com/artist/26YgSVVJxvx1LQsollyBjQ
True Youngblood,,24,979,https://open.spotify.com/artist/1juPqzOM0RzHhTC4tzMQlr
Melanie Fiona,"canadian pop, contemporary r&b, hip pop, neo soul, r&b, urban contemporary",50,869828,https://open.spotify.com/artist/4O2YL4ygn6eTBC0w1hyWUM
Elijah Blake,pop r&b,43,231100,https://open.spotify.com/artist/65OtBLtkrifQrdTlKI90IR
SAYGRACE,r&b,60,207922,https://open.spotify.com/artist/6y5amJcTjeDgLXIjtQLMst
Mack Keane,indie r&b,39,26762,https://open.spotify.com/artist/7fNI5DhplKeFCErRvzRCVO
Berhana,"alternative r&b, indie r&b",46,210043,https://open.spotify.com/artist/0WjtdWS6su0f3jrW9aqEHl
RAY BLK,"alternative r&b, electra, uk contemporary r&b",44,172026,https://open.spotify.com/artist/0CkbPVBpOwwz9NPPglFKyq
Qing Madi,"afrobeats, viral afropop",60,422896,https://open.spotify.com/artist/0ZvsEkINadmEV4qzS4ollh
Leo Waters,,45,24078,https://open.spotify.com/artist/3ZIvVs9CoUB4YkYTwG36eX
Ryan Trey,trap soul,52,269293,https://open.spotify.com/artist/5YHM0i7v5TqqibZhS0YiuX
Denise Julia,,65,760310,https://open.spotify.com/artist/3L1qgTsUqavkiygkIKfWJD
Galimatias,"vapor soul, vapor twitch",53,152256,https://open.spotify.com/artist/0tOrKkXIn3VYyVHFEPG6Xd
Full Crate,"armenian hip hop, dutch r&b, indie r&b, indie soul",58,69739,https://open.spotify.com/artist/0JeTRYMH7FoBiMcLXg1n8g
Allen Stone,retro soul,54,378491,https://open.spotify.com/artist/536osqBGKzeozje8BfcGsa
Jordyn Simone,,29,4677,https://open.spotify.com/artist/6pEjGEHQaVIJuM1ku1mFxb
Abrina,,23,2872,https://open.spotify.com/artist/3FfeeQuvoeef4F19qixt58
Benji.,pittsburgh rap,46,13362,https://open.spotify.com/artist/2Y4AFMyyarPFVfz9o2CRo2
Anthony Ramos,show tunes,67,154824,https://open.spotify.com/artist/660YptcR0hNHJ8iEr1qcse
Ye Ali,"indiana hip hop, trap soul",40,57563,https://open.spotify.com/artist/0Maq4Nk8ZM6keGZjTCXGIH
TOBi,"canadian contemporary r&b, canadian hip hop, indie hip hop",45,88950,https://open.spotify.com/artist/0P54cVemq1DCHUfUMlWAoN
Eric IV,afroswing,40,8103,https://open.spotify.com/artist/56r1mYQ64egjnM0klZb2Cc
Chikoruss,,46,30853,https://open.spotify.com/artist/3uZWq09EA6TKOR3wqJGVMx
